PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
29.9,814.0,26.78,-98.13,2,42215304250000,2548.0
19.2,4.5,26.78,-98.13,3,42215304250000,2712.0
27.5,391.0,26.78,-98.13,2,42215304250000,2715.0
26.4,310.0,26.78,-98.13,2,42215304250000,2876.0
22.6,47.0,26.78,-98.13,1,42215304250000,3496.0
20.9,19.0,26.78,-98.13,1,42215304250000,3658.0
21.3,27.0,26.78,-98.13,1,42215304250000,4548.0
21.7,19.0,26.78,-98.13,1,42215304250000,4663.0
18.1,3.9,26.78,-98.13,3,42215304250000,4717.0
18.5,4.3,26.78,-98.13,3,42215304250000,4718.0
18.0,3.2,26.78,-98.13,3,42215304250000,5040.0
18.3,2.5,26.78,-98.13,3,42215304250000,5041.0
17.9,3.3,26.78,-98.13,3,42215304250000,5260.0
20.3,17.0,26.78,-98.13,1,42215304250000,5933.0
18.1,1.5,26.78,-98.13,3,42215304250000,6073.0
17.7,2.9,26.78,-98.13,3,42215304250000,6108.0
18.0,1.8,26.78,-98.13,3,42215304250000,6377.0
19.9,13.0,26.78,-98.13,1,42215304250000,6378.0
20.1,11.0,26.78,-98.13,1,42215304250000,6472.0
18.3,4.2,26.78,-98.13,3,42215304250000,6530.0
17.9,2.9,26.78,-98.13,3,42215304250000,6547.0
18.5,3.7,26.78,-98.13,3,42215304250000,6597.0
17.6,2.9,26.78,-98.13,3,42215304250000,6955.0
19.2,4.0,26.78,-98.13,3,42215304250000,7050.0
24.1,67.0,26.78,-98.13,1,42215304250000,7051.0
22.7,39.0,26.78,-98.13,1,42215304250000,7052.0
18.4,3.0,26.78,-98.13,3,42215304250000,7186.0
21.1,23.0,26.78,-98.13,1,42215304250000,7198.0
18.2,3.1,26.78,-98.13,3,42215304250000,7470.0
